white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
andrescg_ox2,GUIME,1539,1426,1-0,Horwitz Defense,A40,https://lichess.org/FgQoL6EL,600+0,Normal
graho,kjf,1728,1848,0-1,Sicilian Defense: French Variation,B40,https://lichess.org/jGXnI9qf,600+0,Normal
geewhiz,corey561,1513,1749,0-1,Caro-Kann Defense: Two Knights Attack,B10,https://lichess.org/CaTtsm2K,300+0,Time forfeit
Giacomix,dasuboot,1952,1921,1-0,Bird Opening,A02,https://lichess.org/ixCsHvos,300+0,Normal
Rickveg,Fastnovaster1,1493,1408,1-0,Queen's Pawn Game,D00,https://lichess.org/vHicFIkX,600+5,Normal
vladrodivojac,patika,1870,1671,1-0,Philidor Defense #3,C41,https://lichess.org/0XVxLlms,180+0,Normal
lastminute,mzperx60,1791,1888,0-1,Pirc Defense #4,B07,https://lichess.org/dHpyJydd,180+0,Normal
taborluna,Paulic,1632,1457,1-0,French Defense: Advance Variation #3,C02,https://lichess.org/86DbxDVW,900+3,Normal
x_dmb,Antiputin,1633,1856,0-1,French Defense: Steinitz Attack,C00,https://lichess.org/mrTarLbT,180+0,Normal
Tramurr,ThalesVictor,1690,1730,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/y3htGtTX,900+0,Normal
Douk,cristipb,2018,1263,1-0,Queen's Pawn Game: Mason Attack,D00,https://lichess.org/BFW8ZuRu,300+8,Normal
cucullus,ultimathule79,1522,1596,0-1,Hungarian Opening: Sicilian Invitation,A00,https://lichess.org/HpyLRXnv,900+15,Normal
bucephalus,platypusdavid,1846,1352,1-0,English Opening: King's English Variation,A20,https://lichess.org/F34J1QFZ,300+0,Normal
gaoutte,JonnesMatao,1576,1778,1-0,Alekhine Defense: Scandinavian Variation,B02,https://lichess.org/lsLrwOmy,180+0,Time forfeit
milanbelobrk,mosssss,1964,1846,1-0,Van't Kruijs Opening,A00,https://lichess.org/Icx3UDFq,60+0,Time forfeit
currumbrucu,antalyayolcusu,1926,1764,0-1,English Opening: Agincourt Defense,A13,https://lichess.org/n75aIYrp,300+0,Time forfeit
p0sc0,bon-jovi,1836,1821,1/2-1/2,Modern Defense: Averbakh Variation,A42,https://lichess.org/TOQ8hfzp,300+0,Normal
luislo,fchelia,1704,1770,0-1,Sicilian Defense: Old Sicilian,B30,https://lichess.org/RaMRkhwG,180+1,Normal
shasad,zz15,1722,1525,1-0,Nimzo-Larsen Attack: Modern Variation #2,A01,https://lichess.org/y4ukYapT,180+0,Normal
chessisart,ljubisapanic81,1808,1944,1/2-1/2,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",B33,https://lichess.org/JgaZqb16,480+0,Normal
Amantis,ferrisx,1941,1968,1-0,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,https://lichess.org/32hxs8zT,60+0,Time forfeit
Wezta,RezilVezir,1852,1853,0-1,Caro-Kann Defense,B10,https://lichess.org/AGHjgiR2,60+0,Time forfeit
julianrey,juantito2001,1817,1770,1-0,Queen's Pawn Game: Chigorin Variation,D01,https://lichess.org/E8wKj2nn,1200+0,Normal
milutovac,ulysse63,1594,1426,0-1,French Defense: Knight Variation,C00,https://lichess.org/1L4PF1hK,180+0,Normal
tolima307,dawsofield,1779,1655,1-0,"Italian Game: Two Knights Defense, Fried Liver Attack",C57,https://lichess.org/m3khvnbK,600+0,Normal
khalilamomen,JESUSKING,1632,1840,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/pjMArDKm,600+0,Normal
Wutendes_Heer,Miza82,1878,1772,1-0,Polish Opening,A00,https://lichess.org/uKKUHnOG,300+0,Normal
Talriva,Rafaelsigma,1969,1983,1-0,Polish Opening: Czech Defense,A00,https://lichess.org/X25iWUWF,180+2,Normal
SexualMind,Pellwurm,1942,1908,0-1,French Defense: Steiner Variation,C00,https://lichess.org/2dcopsk0,180+0,Time forfeit
Terrificying,grolps,2098,1534,1-0,"Vienna Game: Vienna Gambit, Steinitz Gambit, Knight Variation",C25,https://lichess.org/zR6iNkZR,60+0,Normal
Cornu,greendog,1414,1433,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/a6PxeUUZ,300+0,Normal
eyupcan,Sasha01,1627,1652,0-1,King's Pawn Game,C20,https://lichess.org/bFf1pzgx,1800+0,Normal
SUTHEY2,will-resign-4-beer,1691,1735,0-1,Pirc Defense #4,B07,https://lichess.org/bXUNsO53,60+0,Time forfeit
thiaguinho,drepoferreira,1796,1682,1-0,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/9UbkRAOu,300+0,Time forfeit
against-my-self,jupeq,1930,2043,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/7Nt4sXd6,60+0,Normal
NightM,libi77,1835,1818,1-0,Ruy Lopez: Closed,C88,https://lichess.org/SV3TrFYn,120+1,Normal
renault18,Duck79,2042,1590,1-0,Bishop's Opening,C23,https://lichess.org/ojYgByyH,600+0,Normal
hithamony,roller_yalta,1694,1654,1-0,Sicilian Defense,B50,https://lichess.org/XB7a7qVD,180+0,Normal
blunder_maker,uhoh123,1678,1636,1-0,Old Benoni Defense,A43,https://lichess.org/jZVF8dYk,180+0,Normal
