white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
lizzo81,inthebighooy,1763,1637,1-0,Ruy Lopez: Steinitz Defense,C62,https://lichess.org/NMxG4PEy,240+6,Normal,,,blitz,1667.0,1817.0,,,42780,4326,42121,,,unknown,,,,,0,0,0
marcosxxx,dads25,1627,1622,1-0,Philidor Defense #3,C41,https://lichess.org/3kBnJGIu,900+0,Time forfeit,,,puzzle,,,,,245,29,414,,,rapid,,,,,205,12,158
cosmiccommunist,senbasla,1638,1908,0-1,Sicilian Defense: Accelerated Dragon,B36,https://lichess.org/Myf6xuLw,600+0,Normal,,,bullet,1080.0,1317.0,,,5612,90,5909,,,blitz,,,,,588,24,318
ruffinillo,waltejoh,1695,1615,0-1,Sicilian Defense #2,B54,https://lichess.org/tEo6US5y,300+0,Normal,,,blitz,1748.0,1799.0,,,6584,378,6582,,,blitz,,2039.0,,,9014,1100,8351
bak642000,Bozin,1955,1967,1-0,"Italian Game: Two Knights Defense, Fried Liver Attack",C57,https://lichess.org/xvSJtqqG,720+0,Normal,,,rapid,,,,,290,49,621,,,puzzle,,,,,572,30,407
Jerezev,Nitroke93,2236,1611,1-0,Ruy Lopez: Steinitz Defense,C62,https://lichess.org/7OhT5zJ2,180+0,Normal,,,blitz,,2117.0,,,18182,2429,17619,,,unknown,,,,,0,0,0
CampusIV,moizes,1550,1511,0-1,Queen's Pawn Game #3,D00,https://lichess.org/AOOZa0cf,900+0,Normal,,,rapid,,,1726.0,,2637,234,4353,,,classical,,,,,716,65,850
Archimede1996,beratxxx127,1557,1263,1-0,Queen's Pawn Game: Levitsky Attack,D00,https://lichess.org/jyuEdcWw,420+8,Normal,,,blitz,,,,,920,54,724,,,rapid,,,,,85,5,200
paul2chess3,simbali,1658,1925,0-1,"French Defense: Classical Variation, Delayed Exchange Variation",C11,https://lichess.org/Mp2CxmIy,300+0,Normal,,,blitz,,,,,1962,233,2220,,,bullet,,,,,22919,2317,16448
cfhuft,SheldonRampton,1404,1586,1-0,Bishop's Opening,C23,https://lichess.org/QD4RzvEJ,300+5,Normal,,,rapid,,,,,256,14,470,,,rapid,1165.0,1293.0,1551.0,1606.0,8687,708,11362
kick,Gazorpazorpfield,1641,1726,0-1,"Sicilian Defense: O'Kelly Variation, Normal System, Taimanov Line",B28,https://lichess.org/lC51lk7r,120+0,Time forfeit,,,bullet,1636.0,,,,34569,3481,79676,,,bullet,,,,,1393,156,1446
lee100,miromonte,1674,1613,0-1,King's Knight Opening,C40,https://lichess.org/wTBmMMCF,300+0,Normal,,,rapid,,,,,946,105,1488,,,blitz,,,,,9029,775,9542
frshvctm,Supar,1622,1489,0-1,Modern Defense,A40,https://lichess.org/y0xVrQZ2,720+12,Time forfeit,,,unknown,,,,,0,0,0,,,blitz,,1260.0,,,1875,114,2341
gala22,eomanx5,1962,1786,0-1,Philidor Defense #3,C41,https://lichess.org/K50LBM7s,900+0,Normal,,,unknown,,,,,0,0,0,,,rapid,,,,,3400,217,6017
snarfels,Gapawa,1848,2062,1-0,English Opening: King's English Variation,A20,https://lichess.org/SNbmyk7o,60+0,Time forfeit,,,bullet,,,,,3843,275,4013,,,bullet,,,,,32035,1871,20887
LolaWeasley,santi7u7,1813,1202,0-1,Nimzowitsch Defense: Franco-Nimzowitsch Variation,B00,https://lichess.org/K5Ci4j3E,-,Normal,,,puzzle,,,,,102,4,31,,,rapid,,,,,152,32,428
flogisto,probando,1579,1715,0-1,Caro-Kann Defense,B10,https://lichess.org/av6bqltj,120+1,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,1941.0,1959.0,,,14393,1507,14002
Masterkill1,lichinut,1664,1784,0-1,English Defense #2,A40,https://lichess.org/BRBDWaSD,30+0,Time forfeit,,,unknown,,,,,0,0,0,,,ultraBullet,2175.0,1719.0,,,83163,1892,132812
chessstudent67,jeffyboy91,1530,1487,0-1,Ponziani Opening,C44,https://lichess.org/HQXXtgaw,900+5,Normal,,,rapid,,,,,825,44,896,,,rapid,,,,,611,43,635
