white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
paulpalacios,yorwaxed,1854,1861,1-0,Scandinavian Defense: Modern Variation #2,B01,https://lichess.org/zu4OhM8G,300+0,Normal,,,blitz,,2019.0,,,13269,753,11917,,,blitz,2200.0,,,,39723,2166,32126
Xykko,rikpal,1612,1777,1-0,Pirc Defense #4,B07,https://lichess.org/hSL7g3KA,240+0,Normal,,,puzzle,,1839.0,,,7175,514,7558,,,blitz,,,,,10143,512,9535
hax123,Benoitsky,1903,1857,0-1,King's Indian Defense: Accelerated Averbakh Variation,E70,https://lichess.org/xWjLpS2Z,300+0,Normal,,,blitz,,2021.0,,,2721,200,2756,,,bullet,1927.0,1940.0,,,27318,2053,31325
chalomaria,rodribal,1999,1875,1-0,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/buGUt4jj,600+0,Normal,,,rapid,,,,,14687,1957,11389,,,blitz,,,,,3162,285,3818
bichopebitou,mate_amargo,1622,1664,1-0,Nimzo-Larsen Attack,A01,https://lichess.org/NSJizMgM,60+0,Time forfeit,,,blitz,,1720.0,1941.0,,10656,1167,13423,,,unknown,,,,,0,0,0
CheckersMan,nortonattack,1805,1897,1-0,Slav Defense #2,D10,https://lichess.org/XJWT7mjU,600+0,Normal,,,bullet,,,,,3030,217,2757,,,blitz,,1897.0,,,30185,2757,24758
Arsen-Shahunts,cesarmamani79,1874,1826,1-0,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,https://lichess.org/qCat7UH8,0+1,Time forfeit,,,blitz,,,,,7335,595,10010,,,bullet,1898.0,,,,13851,382,15890
sadrazam,Krangg,1537,1436,1-0,Dutch Defense,A80,https://lichess.org/k1DVpy2v,180+0,Time forfeit,,,blitz,1165.0,1471.0,,,31812,1825,19291,,,blitz,,1603.0,,,5964,670,6959
sabac,alrawy,1672,2047,0-1,Hungarian Opening: Indian Defense,A00,https://lichess.org/66rfKgn6,600+0,Normal,,,rapid,,,,,129,7,213,,,blitz,,,,,4195,206,1702
GameofFrowns,skituljko13,1916,1806,1-0,French Defense: Knight Variation,C00,https://lichess.org/IVkqIAnK,600+0,Time forfeit,,,blitz,,,,,1475,74,1416,,,blitz,,,,,743,46,803
Ignorante,Richard2,1763,1759,1-0,Queen's Gambit Refused: Austrian Defense,D06,https://lichess.org/YeGBOhqx,120+0,Normal,,,blitz,1930.0,1944.0,,,11329,1593,13413,,,bullet,,,,,6990,850,5093
mikjmr26,mtnmcallister,1782,1383,1-0,Caro-Kann Defense,B10,https://lichess.org/reGfdak8,300+0,Normal,,,blitz,,,,,3020,417,3033,,,unknown,,,,,0,0,0
rorolatourmente,hg1015,1796,2156,0-1,Caro-Kann Defense,B10,https://lichess.org/62CT4Ftj,180+0,Normal,,,unknown,,,,,0,0,0,,,bullet,,,,,51,1,5
Aladinek,farbod1,1957,1760,1/2-1/2,Ruy Lopez: Morphy Defense,C78,https://lichess.org/NPtcSg4C,180+2,Normal,,,blitz,,1860.0,,,12838,1368,8620,,,bullet,,,,,13140,487,12612
ParsIran,abdo_7oss,1649,1887,0-1,Sicilian Defense: Open #3,B32,https://lichess.org/pjv2JEls,180+0,Normal,,,unknown,,,,,0,0,0,,,unknown,,,,,0,0,0
Maradona86,georgemguitarist,1873,1805,1-0,Queen's Gambit Declined: Queen's Knight Variation,D31,https://lichess.org/Qfn1PVWE,240+0,Normal,,,puzzle,1858.0,1945.0,,,1492,179,1506,,,blitz,,1801.0,,,24704,2315,22774
hnabhan,yaraos,1790,1278,1-0,Petrov's Defense,C42,https://lichess.org/IfOeHMHV,-,Normal,,,puzzle,,,,,281,14,158,,,correspondence,,,,,20,1,141
paerstymer,MrLegilimens,1670,1629,0-1,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/abQVelu2,60+0,Time forfeit,,,bullet,1914.0,,,,35147,2756,38500,,,bullet,1855.0,2036.0,,,11649,1634,11466
grasshopper,decidement,1806,2005,1-0,Hungarian Opening,A00,https://lichess.org/o1wgrv4Z,60+0,Normal,,,bullet,2140.0,2072.0,,,50816,3179,47364,,,bullet,2344.0,2042.0,,,307692,16267,164719
giumag,Mejentyrty,1444,1875,0-1,Queen's Pawn Game: Symmetrical Variation,D02,https://lichess.org/DCYHPEw7,300+0,Time forfeit,,,puzzle,,,,,2086,144,4545,,,blitz,,1972.0,,,1914,132,1765
Aristote69,rich21,1681,1257,1-0,Russian Game: Three Knights Game,C42,https://lichess.org/ill7RXcQ,180+5,Normal,,,blitz,,,,,1257,53,503,,,blitz,,,,,1250,108,2833
Kambalass,derBomber,1792,1635,1-0,French Defense: King's Indian Attack,C00,https://lichess.org/Zip7AgLN,300+0,Time forfeit,,,blitz,,,,,4167,501,4832,,,unknown,,,,,0,0,0
holosplay,kmk74,1412,1579,1/2-1/2,Nimzo-Larsen Attack,A01,https://lichess.org/BTzOw00I,600+0,Normal,,,blitz,,,,,692,79,725,,,rapid,,,,,335,17,211
ASADcz,Kastell10,1789,1737,0-1,Nimzo-Larsen Attack,A01,https://lichess.org/QzPKtSpU,120+0,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,,,,,2464,143,2020
slobodan0808,EamonMont,1470,1843,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/WWxIDqNA,300+0,Normal,,,blitz,1407.0,1499.0,,,5468,489,5809,,NM,bullet,2594.0,2417.0,2543.0,,27394,1903,21470
Tsarukyan,Chessorama,1637,1911,0-1,French Defense: King's Indian Attack,C00,https://lichess.org/DimS2YMo,600+0,Normal,,,blitz,,1717.0,,,5908,579,5574,,,puzzle,,,,,3758,234,2718
JuliusDL,LT2016,1749,1741,1-0,Horwitz Defense,A40,https://lichess.org/2EcC7aPX,60+0,Time forfeit,,,bullet,,,,,2778,131,1893,,,bullet,,,,,3263,107,5595
Enric52,honorarycitizen,1825,1967,0-1,Caro-Kann Defense,B11,https://lichess.org/4giycZw2,60+0,Normal,,,puzzle,,,,,3306,227,3468,,,bullet,2143.0,1983.0,,,83416,8108,71389
Gallaecia,tchang1997,1477,1519,0-1,Sicilian Defense,B20,https://lichess.org/pfodYGo2,1200+10,Normal,,,rapid,,,1547.0,,5420,801,6055,,,bullet,2149.0,2091.0,,,13423,1102,13699
Fischess,ibricaaa,1937,1428,1-0,Three Knights Opening,C46,https://lichess.org/AFBoo4sM,180+0,Time forfeit,,,blitz,2203.0,1792.0,,,7858,640,6601,,,puzzle,,,,,104,13,198
Volocuga,ioannes100,1691,1696,1-0,Sicilian Defense: Delayed Alapin,B50,https://lichess.org/MMHEHvcu,300+0,Normal,,,unknown,,,,,0,0,0,,,unknown,,,,,0,0,0
Ernestobula,diskala,1782,1716,1-0,Queen's Pawn Game: Mason Attack,D00,https://lichess.org/YqVlCedx,900+0,Normal,,,puzzle,,1507.0,1677.0,1688.0,4355,352,6161,,,rapid,,,,,374,48,445
davud1366,Sayesomob,1447,1810,0-1,Bird Opening: Williams Gambit,A03,https://lichess.org/o81YqF9l,300+0,Time forfeit,,,rapid,,,,,743,90,2052,,,blitz,,,,,3173,152,1402
peacenblessing,billytaylor64,1710,1567,1-0,Sicilian Defense: Staunton-Cochrane Variation,B20,https://lichess.org/ws27YnMp,360+0,Time forfeit,,,blitz,,1695.0,,,21825,2959,9856,,,unknown,,,,,0,0,0
nightphorge,Paco67,1896,1695,1-0,Van Geet Opening,A00,https://lichess.org/ZnqXydwF,60+0,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,1855.0,1754.0,2012.0,,93444,6437,108151
Jesus33,JackBauer,1823,2112,0-1,Vienna Game: Mieses Variation,C26,https://lichess.org/atlk8LOm,300+0,Normal,,,blitz,2106.0,2100.0,2193.0,,40222,3486,34203,,FM,blitz,,,,,9939,801,5670
Urbano,w-e-e-d,1789,1852,0-1,Rat Defense: Small Center Defense,C00,https://lichess.org/Xehi24ak,30+0,Normal,,,bullet,1835.0,,,,16584,980,21631,,,unknown,,,,,0,0,0
videk,newsimbol,1447,1498,0-1,Queen's Pawn Game,D00,https://lichess.org/xVxHZc6s,0+4,Time forfeit,,,bullet,,,,,14806,989,14025,,,blitz,,,,,9800,684,8347
grinch11,Philipp_Stuttgart,1869,2077,0-1,French Defense: Normal Variation,C00,https://lichess.org/MhdrA7K3,60+0,Normal,,,unknown,,,,,0,0,0,,,bullet,,,,,44802,2466,35555
morfolideo_sacco,Sabelrat,2043,1908,0-1,"French Defense: Advance Variation, Euwe Variation",C02,https://lichess.org/RU59x04Y,300+0,Normal,,,unknown,,,,,0,0,0,,,blitz,,,,,1585,173,1608
maxlav,mechanized,2025,1665,1-0,"Italian Game: Evans Gambit, Tartakower Attack",C52,https://lichess.org/oxIfVQ6c,180+0,Normal,,,blitz,,,,,4552,283,3024,,,unknown,,,,,0,0,0
samuelhaupt3,packattack737,2102,1830,0-1,King's Indian Defense: Orthodox Variation,E91,https://lichess.org/xvoFUgJJ,60+0,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,,,,,12017,544,16020
Luis1973,rotehund,1793,1778,0-1,French Defense #2,C00,https://lichess.org/OSNr43uV,180+0,Time forfeit,,,blitz,,1903.0,,,11570,1176,11997,,,blitz,,,,,3956,237,5533
Nedjo-Master,Turukmakkto,1720,1975,1-0,Scotch Game,C45,https://lichess.org/pEbQC2Ym,60+0,Normal,,,blitz,,,,,12656,1226,14565,,,bullet,2289.0,2109.0,,,102630,4590,78782
maris88,Foutleerwerk,1846,1890,1-0,St. George Defense,B00,https://lichess.org/cIocHs1F,240+2,Normal,,,blitz,,2121.0,,,1273,224,1416,,,bullet,2023.0,,,,4875,331,4308
Bupi99,mikelimtm,1420,1656,0-1,French Defense: Knight Variation,C00,https://lichess.org/nCFPOAxH,1800+0,Normal,,,puzzle,1650.0,1896.0,,,1100,79,1313,,,puzzle,,,,,92,7,94
RussianMaverik,arequipatomas,1361,1522,1-0,King's Pawn Game: Damiano Defense,C40,https://lichess.org/IycRyi4f,180+0,Normal,,,bullet,1720.0,1368.0,,,16664,1759,19008,,,blitz,,,,,12762,657,14773
IsraelAlcaraz,kartoshka69,1660,1777,0-1,Center Game: Normal Variation,C22,https://lichess.org/o54WeHzm,180+0,Time forfeit,,,blitz,,1543.0,,,11270,1258,12846,,,blitz,,,,,788,86,1016
albybobby,bezveze,1688,1792,0-1,Scandinavian Defense,B01,https://lichess.org/hfL1GfRa,60+0,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,1663.0,,,,29461,1628,28427
shuntandromed1,fishpatz,1998,1676,0-1,French Defense: Normal Variation,C00,https://lichess.org/iYf8kWlT,60+0,Normal,,,bullet,2072.0,,,,36616,1653,35804,,,bullet,1228.0,,,,33994,417,43977
Tregelles,IICUXOIIAT,1545,1682,1-0,Sicilian Defense: Keres Variation,B20,https://lichess.org/MVJwAOqC,120+2,Normal,,,blitz,,,,,690,68,705,,,puzzle,,1734.0,,,1596,100,1941
sciguy,ehsan699,1401,1672,0-1,Queen's Pawn Game,D00,https://lichess.org/VY6vDofo,180+0,Time forfeit,,,blitz,,,,,333,43,642,,,puzzle,1905.0,1783.0,,,3287,331,3778
Stupe11,Thelugalz,1764,2015,0-1,"Sicilian Defense: Accelerated Dragon, Modern Variation",B34,https://lichess.org/1XKRz5oN,60+0,Time forfeit,,,bullet,,1775.0,,,2549,128,2763,,,bullet,2114.0,,,,5717,207,3800
Grota,mies,1576,1550,0-1,Bishop's Opening: Berlin Defense,C24,https://lichess.org/N4dIYg9a,1200+5,Normal,,,rapid,,,,,6294,363,9851,,,classical,,,,,324,12,281
inkt2002,rautor,1495,1525,0-1,Philidor Defense #3,C41,https://lichess.org/mBddCwBt,0+4,Normal,,,bullet,,,,,1274,84,1270,,,bullet,,,,,11696,1393,14785
Ben034,NikB,1893,1834,0-1,English Opening: Agincourt Defense,A13,https://lichess.org/f2hyFqXe,120+0,Time forfeit,,,blitz,,2204.0,,,33902,4182,30341,,,bullet,1903.0,,,,12035,683,12297
keresmatic,Avatarhood,1691,1825,0-1,"King's Gambit Declined, Queen's Knight Defense",C30,https://lichess.org/lSZ6spix,180+0,Time forfeit,,,blitz,1598.0,1499.0,,,9493,625,10331,,,unknown,,,,,0,0,0
Marian3,superchango99,1425,1491,0-1,Four Knights Game: Spanish Variation,C48,https://lichess.org/RcCaN4IE,300+0,Normal,,,blitz,,,,,926,92,1169,,,blitz,,1600.0,,,9808,604,9959
Brancho,katanca,1701,1690,1-0,French Defense #2,C00,https://lichess.org/EGHBGLdT,300+0,Normal,,,blitz,1689.0,1679.0,,,29620,1172,29722,,,blitz,,1678.0,,,46519,2172,50737
Kintsugi,yann124,1675,1645,1-0,Slav Defense: Modern Line,D11,https://lichess.org/s60ief4A,180+0,Normal,,,unknown,,,,,0,0,0,,,unknown,,,,,0,0,0
ricky14,stevieray,1842,1878,0-1,Slav Defense: Exchange Variation,D10,https://lichess.org/oWSJLban,600+0,Normal,,,rapid,,,,,799,120,866,,,rapid,,,,,462,58,642
KZC,Sviat0,1536,1594,1-0,Sicilian Defense,B20,https://lichess.org/giFCV6yg,300+3,Normal,,,blitz,,,,,463,72,938,,,blitz,,,,,323,18,212
IndiGroove,Ivorybags,1825,1891,1-0,Philidor Defense: Exchange Variation #2,C41,https://lichess.org/GEsChALu,900+3,Normal,,,unknown,,,,,0,0,0,,,unknown,,,,,0,0,0
lastgioaspe,serkanatis,1950,1913,0-1,Rat Defense: Small Center Defense,C00,https://lichess.org/OOVoxtNP,180+2,Normal,,,unknown,,,,,0,0,0,,,blitz,,,,,10991,1142,11642
leoauber,MaxSherwin,1556,1435,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/DxNq3lOe,180+3,Normal,,,blitz,,,,,2630,55,887,,,puzzle,,,,,1,0,33
sobh,inge_7000,1900,1946,0-1,Hungarian Opening: Slav Formation,A00,https://lichess.org/CXFY6Pl2,30+0,Time forfeit,,,bullet,,,,,3848,200,3962,,,unknown,,,,,0,0,0
castles,windycitycg,1825,1568,1-0,Semi-Slav Defense: Accelerated Move Order,D31,https://lichess.org/mpay0jhs,60+0,Time forfeit,,,bullet,,,,,12042,450,14900,,,bullet,,,,,5066,339,3183
Iohonon,patatero,1904,1349,1-0,"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",D07,https://lichess.org/MZjwvM7R,300+0,Time forfeit,,,blitz,,,,,3718,252,3016,,,blitz,,,,,211,14,677
andopp,Knn1215,1673,1481,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/EdRw8dix,60+0,Time forfeit,,,bullet,2010.0,,,,14778,937,14505,,,bullet,2073.0,,2000.0,,11438,1025,12478
Leonidiv,mkoga,1836,1574,1-0,Caro-Kann Defense: Exchange Variation,B13,https://lichess.org/SKh9z08E,300+0,Time forfeit,,,blitz,,,,,6596,597,5852,,,puzzle,,,,,306,16,388
gravihouse,zombiehorse,1944,1746,1-0,Englund Gambit Complex Declined,A40,https://lichess.org/Q7em3gYc,30+0,Time forfeit,,,unknown,,,,,0,0,0,,,unknown,,,,,0,0,0
dpedro,Jgor,1835,1736,0-1,Giuoco Piano,C50,https://lichess.org/G3w7YWDK,300+8,Normal,,,blitz,1971.0,1988.0,,,6569,876,4336,,,rapid,,,,,7075,693,6498
strongesttt,panitta,2006,1957,0-1,"Queen's Gambit Refused: Chigorin Defense, Main Line",D07,https://lichess.org/6gicRPFp,180+0,Time forfeit,,,blitz,,2047.0,,,9765,807,11045,,,blitz,,2117.0,,,58905,5650,56564
bb8,guantebla,1918,1944,0-1,Mieses Opening,A00,https://lichess.org/HOdF5B5C,0+1,Normal,,,bullet,2201.0,,,,11086,1010,11205,,,bullet,,,,,19038,1404,19388
dupinozka,Jbramel,1332,1519,0-1,Sicilian Defense: McDonnell Attack,B21,https://lichess.org/UAjssbB7,45+3,Time forfeit,,,bullet,1399.0,,,,25363,1544,27299,,,bullet,1721.0,1774.0,,,16281,687,13349
IsolatedPun-Youtube,Zijiakee,1939,1993,0-1,French Defense: Knight Variation,C00,https://lichess.org/efZBFGGZ,180+0,Normal,,,unknown,,,,,0,0,0,,,blitz,,1792.0,,,1661,172,1423
elodotis,TARGUS2015,1891,1755,1-0,Alekhine Defense,B03,https://lichess.org/lv9BeKve,300+0,Time forfeit,,,crazyhouse,,2059.0,2086.0,,13201,361,6307,,,blitz,,,,,4057,608,3869
pawncount,hyungnam,1736,1676,1-0,Ruy Lopez: Cozio Defense,C60,https://lichess.org/jyxbkfqP,120+0,Normal,,,bullet,,,,,1351,98,1502,,,unknown,,,,,0,0,0
Siul,herbalife,1642,1232,1-0,Sicilian Defense: Jalalabad Variation,B27,https://lichess.org/yRRG2R7B,900+10,Normal,,,rapid,,,,,36,2,29,,,rapid,,,,,16,1,43
alanogier,laslonadjlacika,1843,1688,1-0,Modern Defense,A40,https://lichess.org/lNeRMmIQ,720+10,Normal,,,rapid,,,,,1618,121,1937,,,rapid,,,,,4580,403,5156
andrescg_ox2,GUIME,1539,1426,1-0,Horwitz Defense,A40,https://lichess.org/FgQoL6EL,600+0,Normal,,,unknown,,,,,0,0,0,,,rapid,,1233.0,1377.0,,3606,121,4025
graho,kjf,1728,1848,0-1,Sicilian Defense: French Variation,B40,https://lichess.org/jGXnI9qf,600+0,Normal,,,rapid,,1862.0,1968.0,1966.0,12064,1110,6976,,,blitz,,1810.0,,,23356,1521,19443
geewhiz,corey561,1513,1749,0-1,Caro-Kann Defense: Two Knights Attack,B10,https://lichess.org/CaTtsm2K,300+0,Time forfeit,,,bullet,1375.0,,,,11929,614,12509,,,bullet,1956.0,,,,10092,644,8212
Giacomix,dasuboot,1952,1921,1-0,Bird Opening,A02,https://lichess.org/ixCsHvos,300+0,Normal,,,blitz,,,,,3421,377,3719,,,unknown,,,,,0,0,0
Rickveg,Fastnovaster1,1493,1408,1-0,Queen's Pawn Game,D00,https://lichess.org/vHicFIkX,600+5,Normal,,,bullet,1977.0,1952.0,2084.0,,28983,1821,29865,,,unknown,,,,,0,0,0
vladrodivojac,patika,1870,1671,1-0,Philidor Defense #3,C41,https://lichess.org/0XVxLlms,180+0,Normal,,,blitz,1660.0,1788.0,1854.0,,21530,1222,18961,,,blitz,,1508.0,,,31137,3293,36231
lastminute,mzperx60,1791,1888,0-1,Pirc Defense #4,B07,https://lichess.org/dHpyJydd,180+0,Normal,,,unknown,,,,,0,0,0,,,blitz,,,,,13147,777,10617
taborluna,Paulic,1632,1457,1-0,French Defense: Advance Variation #3,C02,https://lichess.org/86DbxDVW,900+3,Normal,,,rapid,,,1534.0,,13923,1094,12097,,,rapid,1207.0,1422.0,1497.0,1536.0,7840,998,12547
x_dmb,Antiputin,1633,1856,0-1,French Defense: Steinitz Attack,C00,https://lichess.org/mrTarLbT,180+0,Normal,,,bullet,1265.0,1394.0,,,3577,130,5004,,,bullet,,,,,13434,641,10045
Tramurr,ThalesVictor,1690,1730,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/y3htGtTX,900+0,Normal,,,rapid,,,,,5409,175,5321,,,unknown,,,,,0,0,0
Douk,cristipb,2018,1263,1-0,Queen's Pawn Game: Mason Attack,D00,https://lichess.org/BFW8ZuRu,300+8,Normal,,,unknown,,,,,0,0,0,,,blitz,,1245.0,,,6829,681,7594
cucullus,ultimathule79,1522,1596,0-1,Hungarian Opening: Sicilian Invitation,A00,https://lichess.org/HpyLRXnv,900+15,Normal,,,rapid,,,1352.0,,15501,1890,15853,,,classical,,,,,550,68,193
bucephalus,platypusdavid,1846,1352,1-0,English Opening: King's English Variation,A20,https://lichess.org/F34J1QFZ,300+0,Normal,,,blitz,1813.0,1943.0,,,2783,144,1617,,,blitz,,,,,146,34,632
gaoutte,JonnesMatao,1576,1778,1-0,Alekhine Defense: Scandinavian Variation,B02,https://lichess.org/lsLrwOmy,180+0,Time forfeit,,,bullet,1727.0,1647.0,1804.0,,14794,1599,14801,,,blitz,,,,,4649,179,4878
milanbelobrk,mosssss,1964,1846,1-0,Van't Kruijs Opening,A00,https://lichess.org/Icx3UDFq,60+0,Time forfeit,,,bullet,,,,,57129,3455,29061,,,bullet,1812.0,,,,51805,2828,70529
currumbrucu,antalyayolcusu,1926,1764,0-1,English Opening: Agincourt Defense,A13,https://lichess.org/n75aIYrp,300+0,Time forfeit,,,bullet,1862.0,1873.0,,,11266,523,7675,,,blitz,,,,,1793,117,1797
p0sc0,bon-jovi,1836,1821,1/2-1/2,Modern Defense: Averbakh Variation,A42,https://lichess.org/TOQ8hfzp,300+0,Normal,,,blitz,,2131.0,,,13993,1191,12989,,,blitz,1282.0,,,,16208,1441,17326
luislo,fchelia,1704,1770,0-1,Sicilian Defense: Old Sicilian,B30,https://lichess.org/RaMRkhwG,180+1,Normal,,,blitz,,,,,1712,143,2519,,,blitz,,,,,4640,343,4713
shasad,zz15,1722,1525,1-0,Nimzo-Larsen Attack: Modern Variation #2,A01,https://lichess.org/y4ukYapT,180+0,Normal,,,blitz,,1905.0,,,9193,553,14812,,,unknown,,,,,0,0,0
chessisart,ljubisapanic81,1808,1944,1/2-1/2,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",B33,https://lichess.org/JgaZqb16,480+0,Normal,,,unknown,,,,,0,0,0,,,unknown,,,,,0,0,0
Amantis,ferrisx,1941,1968,1-0,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,https://lichess.org/32hxs8zT,60+0,Time forfeit,,,bullet,,,,,3566,221,3646,,,bullet,2324.0,,,,70287,4826,54761
Wezta,RezilVezir,1852,1853,0-1,Caro-Kann Defense,B10,https://lichess.org/AGHjgiR2,60+0,Time forfeit,,,blitz,,2257.0,,,23365,2753,20274,,,bullet,,,,,4033,166,4868
julianrey,juantito2001,1817,1770,1-0,Queen's Pawn Game: Chigorin Variation,D01,https://lichess.org/E8wKj2nn,1200+0,Normal,,,rapid,,,1861.0,,2780,188,1576,,,blitz,,1946.0,,,6391,851,6975
milutovac,ulysse63,1594,1426,0-1,French Defense: Knight Variation,C00,https://lichess.org/1L4PF1hK,180+0,Normal,,,unknown,,,,,0,0,0,,,blitz,,,,,7363,437,7840
tolima307,dawsofield,1779,1655,1-0,"Italian Game: Two Knights Defense, Fried Liver Attack",C57,https://lichess.org/m3khvnbK,600+0,Normal,,,rapid,,,1738.0,,4321,257,4520,,,rapid,,1483.0,1758.0,,2446,259,2597
khalilamomen,JESUSKING,1632,1840,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/pjMArDKm,600+0,Normal,,,rapid,,,,,396,21,433,,,unknown,,,,,0,0,0
Wutendes_Heer,Miza82,1878,1772,1-0,Polish Opening,A00,https://lichess.org/uKKUHnOG,300+0,Normal,,,blitz,,,,,13963,888,11536,,,blitz,,,,,99,10,153
Talriva,Rafaelsigma,1969,1983,1-0,Polish Opening: Czech Defense,A00,https://lichess.org/X25iWUWF,180+2,Normal,,,blitz,,2181.0,,,5297,632,4206,,,blitz,,,,,4305,385,5634
SexualMind,Pellwurm,1942,1908,0-1,French Defense: Steiner Variation,C00,https://lichess.org/2dcopsk0,180+0,Time forfeit,,,blitz,,,,,30,2,27,,,unknown,,,,,0,0,0
Terrificying,grolps,2098,1534,1-0,"Vienna Game: Vienna Gambit, Steinitz Gambit, Knight Variation",C25,https://lichess.org/zR6iNkZR,60+0,Normal,,,bullet,2253.0,2036.0,2072.0,,32300,2221,25924,,,bullet,,,,,3677,156,4002
Cornu,greendog,1414,1433,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/a6PxeUUZ,300+0,Normal,,,blitz,,1756.0,,,6452,456,6518,,,unknown,,,,,0,0,0
eyupcan,Sasha01,1627,1652,0-1,King's Pawn Game,C20,https://lichess.org/bFf1pzgx,1800+0,Normal,,,rapid,,,,,238,21,392,,,puzzle,,,,,1637,157,847
SUTHEY2,will-resign-4-beer,1691,1735,0-1,Pirc Defense #4,B07,https://lichess.org/bXUNsO53,60+0,Time forfeit,,,ultraBullet,,,,,149548,3376,232400,,,unknown,,,,,0,0,0
thiaguinho,drepoferreira,1796,1682,1-0,Queen's Gambit Refused: Marshall Defense,D06,https://lichess.org/9UbkRAOu,300+0,Time forfeit,,,bullet,,,,,12106,681,10342,,,blitz,1868.0,1887.0,,,7491,254,7429
against-my-self,jupeq,1930,2043,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/7Nt4sXd6,60+0,Normal,,,unknown,,,,,0,0,0,,,bullet,,,,,33823,742,23344
NightM,libi77,1835,1818,1-0,Ruy Lopez: Closed,C88,https://lichess.org/SV3TrFYn,120+1,Normal,,,bullet,,,,,1162,131,1373,,,bullet,,,,,1783,120,2193
renault18,Duck79,2042,1590,1-0,Bishop's Opening,C23,https://lichess.org/ojYgByyH,600+0,Normal,,,blitz,,,,,2436,92,1997,,,unknown,,,,,0,0,0
hithamony,roller_yalta,1694,1654,1-0,Sicilian Defense,B50,https://lichess.org/XB7a7qVD,180+0,Normal,,,blitz,,,,,6688,393,6805,,,blitz,,2153.0,,,9610,982,9454
blunder_maker,uhoh123,1678,1636,1-0,Old Benoni Defense,A43,https://lichess.org/jZVF8dYk,180+0,Normal,,,unknown,,,,,0,0,0,,,puzzle,1273.0,1363.0,,,2686,155,3393
ZooTV,Cullarvega,1397,1685,0-1,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/LJc8LV3v,600+0,Normal,,,unknown,,,,,0,0,0,,,blitz,,,,,36862,1849,59842
robadamas,rferrer,1686,1557,1-0,Slav Defense #2,D10,https://lichess.org/op9TRpSb,420+0,Normal,,,blitz,,1764.0,,,7543,708,6082,,,blitz,1999.0,1999.0,,,6521,615,6136
filipfico,TACHI88,1717,1465,1-0,Queen's Pawn Game: Levitsky Attack,D00,https://lichess.org/nMNQSiiI,360+0,Normal,,,blitz,,,,,6451,563,3286,,,rapid,,,1302.0,,963,49,1147
Triceratops_2007,Zhgilmev,1580,1490,0-1,French Defense: Normal Variation,C00,https://lichess.org/lgjgTVW8,180+2,Normal,,,blitz,,1652.0,,,30930,2922,38148,,,crazyhouse,,,,,5410,174,9277
Marciobastos,RoronoaZoro26,1479,1537,1-0,Caro-Kann Defense,B10,https://lichess.org/eBV1ISoF,300+0,Normal,,,blitz,,,,,1381,144,2312,,,blitz,,1393.0,1475.0,,1201,84,1072
MannyTheKnight,galita,1604,1520,1-0,French Defense #2,C00,https://lichess.org/l9xBNnSm,60+1,Time forfeit,,,bullet,,,,,3220,115,2582,,,bullet,,,,,31901,2050,35689
BiggKipp,Vmax,1603,1581,1-0,Queen's Pawn Game: Krause Variation,D02,https://lichess.org/X5p7OKuH,180+0,Normal,,,blitz,1620.0,1597.0,,,23804,1527,24054,,,bullet,1690.0,,,,25379,760,25563
scarlo,sharin,1424,1482,0-1,Sicilian Defense: O'Kelly Variation,B28,https://lichess.org/YVt3bFKl,180+2,Normal,,,blitz,,,,,2791,94,4513,,,blitz,,,,,30062,2397,21766
Pettenchess,Snowden,1470,1617,0-1,Nimzowitsch Defense,B00,https://lichess.org/wIJL0xxa,480+0,Normal,,,puzzle,,,,,230,34,443,,,rapid,,,,,55659,940,39565
vasja2,Hemericus,1933,1971,1/2-1/2,Philidor Defense #2,C41,https://lichess.org/Dh1tFirR,60+0,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,2064.0,,,,26656,2157,26560
