white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
Oleg911911,bigbo,1226,1548,0-1,"English Opening: King's English Variation, Kramnik-Shirov Counterattack",A21,https://lichess.org/uW0Zkcre,900+0,Normal
youcantspag,iTo0ns,1285,1301,0-1,Ponziani Opening: Jaenisch Counterattack,C44,https://lichess.org/6vqi9jfA,900+0,Normal
Alfiluz,sonnybudi,1276,1500,1-0,Mikenas Defense,A40,https://lichess.org/Q2aSumaq,120+1,Normal
chrissyk,RichKennedy,1257,1106,1-0,King's Pawn Game: Wayward Queen Attack,C20,https://lichess.org/sVdnmjLw,360+8,Normal
Negruz,Lihuen,1500,1260,1-0,Mikenas Defense,A40,https://lichess.org/8qM1FRcM,1800+0,Normal
ALISHER4ik,tedyjordan,1422,1340,0-1,Zukertort Opening: Tennison Gambit,A06,https://lichess.org/8huAmdMZ,480+0,Time forfeit
Turb0Chess,Brotback,1291,1386,0-1,Caro-Kann Defense: Exchange Variation,B13,https://lichess.org/RG2H9KAz,120+60,Time forfeit
dani1001,mruni,1119,1018,1-0,"French Defense: Classical Variation, Svenonius Variation",C10,https://lichess.org/scv2BXCA,240+5,Normal
levagabon_du92,casandra,1487,1174,1-0,Philidor Defense #2,C41,https://lichess.org/2hGY5QFo,240+0,Normal
lucena006,T80,1112,1295,0-1,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/qNJiymjh,900+0,Normal
Hot_Pocket,BRIJ_N,1338,1409,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/HwLIUYES,300+0,Normal
Axtlas,buithaitinhlx,1748,1039,1-0,Blackmar-Diemer Gambit: Gedult Gambit,D00,https://lichess.org/7iSrYpFY,30+0,Normal
checkcheckallnight,trip,1332,1331,1-0,Scandinavian Defense,B01,https://lichess.org/453jl0Z3,1200+0,Normal
nunis26,Navarrete,925,1495,0-1,Nimzowitsch Defense: Franco-Nimzowitsch Variation,B00,https://lichess.org/lvixMehj,600+0,Normal
gpwood,LifeW12,1387,1331,0-1,"Sicilian Defense: Sozin Attack, Flank Variation",B87,https://lichess.org/bZvrzndP,300+0,Time forfeit
azzahr,renax1991,1261,1468,0-1,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/QCfUwOxB,60+0,Time forfeit
pb_captin,kuhreem,1039,1261,1-0,Sicilian Defense,B20,https://lichess.org/DTZPKCxH,60+3,Normal
Crixin,paradoxlost,1128,1279,0-1,Horwitz Defense,A40,https://lichess.org/36wJGqDz,600+0,Normal
mark1217,radz1988,1394,1363,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/HkbXP38S,900+1,Time forfeit
Tibicsoki,Repercussion,1245,1500,1-0,Duras Gambit,B00,https://lichess.org/ua5qGsgU,1200+0,Normal
Hsmorales,ipanemo,1368,1150,0-1,Blackmar-Diemer Gambit,D00,https://lichess.org/VhagNOW9,60+2,Normal
YOANNAS,rvboxer,1335,1296,0-1,Elephant Gambit,C40,https://lichess.org/XVq7sb1L,300+0,Normal
spida,drunknord,1424,1252,1-0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",C57,https://lichess.org/WexUE19A,180+2,Normal
Nitin123,SteadyAntelope,1389,1272,1-0,Queen's Pawn Game: Levitsky Attack,D00,https://lichess.org/iCIoiiEi,30+0,Time forfeit
HussTheGame,darkingz527,1426,1152,1-0,King's Pawn Game: Napoleon Attack,C20,https://lichess.org/4gNjopVs,300+0,Time forfeit
lavin,Zepled99,1426,1369,0-1,Old Benoni Defense,A43,https://lichess.org/RxvytrZ4,1800+10,Normal
Winteriscoming12,Foklara,1262,1218,0-1,Pirc Defense #4,B07,https://lichess.org/kjZK7Fw2,900+10,Normal
Sasho21,parker5818,1369,924,1-0,Nimzowitsch Defense: Kennedy Variation,B00,https://lichess.org/0fSy7dLM,300+8,Normal
Enderer,haroldF,1392,1361,1-0,Three Knights Opening,C46,https://lichess.org/kIRvi1kv,120+0,Time forfeit
fenix395,emdoice,1141,1462,0-1,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/FsluxmUQ,240+2,Normal
DGelinas,Leo5,1225,1381,0-1,Sicilian Defense: Smith-Morra Gambit #2,B21,https://lichess.org/mqP7oyS5,360+0,Normal
Dr_3z,mojtaba68,1161,1572,0-1,Nimzo-Larsen Attack: Symmetrical Variation,A01,https://lichess.org/t7cPdD2i,900+0,Normal
Le-brunch,medve1,1048,1387,1-0,French Defense: Knight Variation,C00,https://lichess.org/uBpI0qyE,180+0,Normal
ICheckmateYouThenLOL,balak,1232,1286,0-1,Horwitz Defense,A40,https://lichess.org/tG4pIyDs,180+3,Time forfeit
PawnStormMistro,window_lick3r,1138,1068,0-1,Caro-Kann Defense: Labahn Attack,B10,https://lichess.org/Touo9aUH,600+0,Normal
TheMysteriousBlunder,yalp,1485,1274,1-0,French Defense: Advance Variation #2,C02,https://lichess.org/2kJya20D,120+0,Normal
fede070903,alexvester,1110,1056,1-0,Hungarian Opening,A00,https://lichess.org/ajZI2EPu,600+0,Time forfeit
gohappy,ecortizas,1362,1226,1-0,Queen's Pawn Game #2,D00,https://lichess.org/PYDo3zvq,1200+0,Normal
lisamika,LucidSleeper,1346,1434,1-0,Caro-Kann Defense: Panov Attack #2,B13,https://lichess.org/ydzbdznL,480+0,Time forfeit
gmiatello,DEBEDE22,1408,1380,1-0,Italian Game,C50,https://lichess.org/BjYKtF5A,1200+8,Time forfeit
adamantane,radzman5125,1339,1421,0-1,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/JHj0RpiU,900+1,Normal
Rusinas,Evgen_86,1090,1322,0-1,King's Pawn Game: Tortoise Opening,C20,https://lichess.org/M5eQvmdi,1200+10,Time forfeit
MartinBD,JBGIII,1181,1473,0-1,Italian Game,C50,https://lichess.org/KDzn8Atq,300+3,Normal
hoainhan,ottomannobilty,1392,1321,1-0,French Defense: Normal Variation,C00,https://lichess.org/NmSt5EWc,600+0,Normal
fishlar,beehavior,1445,1326,1-0,"Italian Game: Two Knights Defense, Knight Attack",C57,https://lichess.org/2OPCZFSv,600+5,Time forfeit
nicoscav,marshmallowmadness,1081,1148,1-0,Sicilian Defense: Hyperaccelerated Pterodactyl,B27,https://lichess.org/8FoRJ0qp,900+5,Normal
Hans769,big_mu,1410,1269,0-1,Scandinavian Defense: Icelandic-Palme Gambit,B01,https://lichess.org/9nfzCvai,1200+0,Normal
sarankunnath,Meh_r,1302,1281,1-0,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/8CkOUUGY,420+1,Normal
FranciscoJavier,ElleLawliet,1289,1298,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/E9GvN562,600+5,Normal
joshuac9225,docjas,1500,1121,1-0,Petrov's Defense #2,C42,https://lichess.org/55FZg0xM,180+0,Time forfeit
Tassiv,vunhatnam2002,1354,1113,1/2-1/2,French Defense: Queen's Knight,C00,https://lichess.org/O3iiibwR,720+10,Normal
Greengrocer,Julio3159,1692,1093,1-0,French Defense: Normal Variation,C00,https://lichess.org/ued3Asfb,300+0,Normal
neiker,edHARDCORE,1402,1321,0-1,Gunderam Defense,C40,https://lichess.org/Z2q6HxDL,600+30,Normal
schaaksmurf3,frailangel,1293,1439,0-1,Philidor Defense #3,C41,https://lichess.org/J7tL2aqN,900+0,Normal
pollischa,JacquesAintabi,1423,1363,1-0,Italian Game: Anti-Fried Liver Defense,C55,https://lichess.org/NCyug5sz,180+10,Time forfeit
