white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
Hqadiri,Rotaro99,935,1752,1-0,French Defense: Henneberger Variation,C11,https://lichess.org/xckWExZL,300+2,Normal,,,unknown,,,,,0,0,0,,,blitz,2008.0,1881.0,,,5850,569,5678
edtardbloodthirsty,allthis,1316,1318,0-1,Slav Defense #2,D10,https://lichess.org/EdiTcWbk,300+0,Normal,,,bullet,,,,,7868,439,6574,,,bullet,,,,,11533,462,12013
zhigan-limon,Time_To_Relax,1239,1552,0-1,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/ei3ftJ7h,600+2,Normal,,,puzzle,,,1268.0,,2587,85,2751,,,bullet,1499.0,1716.0,,,9483,606,8356
Lifeisgood2665,smarf,1367,1170,1-0,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",B00,https://lichess.org/Aapbf6N2,300+0,Normal,,,blitz,,,,,1850,83,718,,,puzzle,,1524.0,1692.0,,2509,157,2670
hape,dknox06,1421,1256,1-0,Elephant Gambit: Paulsen Countergambit,C40,https://lichess.org/sLcfTFoU,900+0,Normal,,,rapid,,,1628.0,,4433,408,5284,,,rapid,,,1123.0,,1248,99,2555
sinkrafeas,LordFarsomin,1398,1288,0-1,Queen's Pawn Game: Zukertort Variation,D02,https://lichess.org/8QmXMJVX,240+0,Normal,,,blitz,,,,,15373,1174,21571,,,bullet,1210.0,,,,14471,455,14778
lazyranch,djoy,1177,1359,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/1NvSOfcq,300+7,Time forfeit,,,puzzle,,,,,28,0,41,,,blitz,,945.0,,,2689,231,4355
sisapibaik,akuputra,995,1379,0-1,Van't Kruijs Opening,A00,https://lichess.org/719kjz6P,420+0,Time forfeit,,,puzzle,,,,,16,3,47,,,blitz,,,,,47,4,43
jamesbarney,mlauz,1228,1384,0-1,Four Knights Game,C46,https://lichess.org/tDqz9AJz,300+2,Normal,,,rapid,,,,,391,37,525,,,blitz,,,,,52,7,43
Nacho96,maksutov,1335,1449,0-1,Van't Kruijs Opening,A00,https://lichess.org/C5OV5XgY,600+2,Normal,,,puzzle,,,,,1,0,18,,,rapid,,,,,118,11,228
murmanchess,Asddera,1293,1353,1-0,Queen's Pawn Game: Chigorin Variation,D01,https://lichess.org/vjj2qHqO,600+3,Normal,,,puzzle,,,,,223,17,222,,,puzzle,,,,,111,14,183
nhurwitz,deacal,1411,1359,1-0,Vienna Game,C27,https://lichess.org/tP5SKijB,300+0,Normal,,,puzzle,,,,,262,7,391,,,blitz,,,,,1308,90,1768
mctiernan,dougsko,1278,1221,1/2-1/2,"English Opening: King's English Variation, Reversed Sicilian",A21,https://lichess.org/2TTe56Vn,600+5,Normal,,,blitz,,,,,137,7,245,,,puzzle,,,,,331,36,350
Vahimaca,Cristizero,1317,1298,1-0,Van't Kruijs Opening,A00,https://lichess.org/yAVwatc4,120+20,Time forfeit,,,rapid,,,,,66,7,109,,,rapid,1492.0,,1588.0,,3376,261,3429
Georgesantosbrasil,feliracing,1391,1404,1-0,Ruy Lopez: Berlin Defense #2,C65,https://lichess.org/6GuTgT7X,30+0,Time forfeit,,,puzzle,,,,,164,1,64,,,bullet,,,,,86551,3182,55691
lemercierjb,saxy_sean,1172,962,1-0,Mikenas Defense,A40,https://lichess.org/ykjY2kJ4,480+0,Time forfeit,,,puzzle,,,,,84,2,87,,,rapid,,,,,122,33,263
giloss,dounding,1230,1346,1-0,Philidor Defense,C41,https://lichess.org/S0alE54Y,600+0,Time forfeit,,,rapid,,,,,802,117,1247,,,rapid,,,,,175,17,313
JAIROSANCHEZ,mountain4869,1316,1031,1-0,Queen's Pawn Game: Chigorin Variation,D02,https://lichess.org/2ulNM4g2,240+5,Time forfeit,,,unknown,,,,,0,0,0,,,unknown,,,,,0,0,0
Chengmingz,Ashmil,1321,1279,0-1,Four Knights Game: Scotch Variation,C47,https://lichess.org/vlrx3bdW,60+0,Time forfeit,,,unknown,,,,,0,0,0,,,blitz,,,,,351,25,900
integral1606,Grant1992,1203,1370,1-0,Queen's Pawn Game #3,D00,https://lichess.org/dRV742WY,1500+0,Normal,,,puzzle,,,,,21,4,68,,,rapid,,,,,3,0,42
ggrom,CrapMove,1452,1303,1-0,Nimzo-Larsen Attack: Modern Variation #3,A01,https://lichess.org/W1TW767L,600+0,Normal,,,puzzle,,,,,793,65,832,,,blitz,,,,,618,18,621
MartinezEmmanuel,HeraldTasuki0908,1366,1181,1-0,Ruy Lopez: Spanish Countergambit,C60,https://lichess.org/zNccxHeC,300+0,Normal,,,blitz,,,,,939,31,367,,,puzzle,,,,,410,20,469
skailain279,gkamel,1043,1654,0-1,Queen's Pawn,A40,https://lichess.org/weKrq7wm,300+0,Time forfeit,,,rapid,,,,,62,11,144,,,blitz,,1997.0,,,30368,3718,39800
askhatt,mykasper,1170,1276,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/ls8a1LVX,240+0,Normal,,,blitz,,,,,211,17,552,,,blitz,,,,,24204,1688,31354
SLAVA010976,Racerguy,1361,1186,1-0,Bishop's Opening,C23,https://lichess.org/AjcvP6Li,600+0,Normal,,,rapid,,,,,9215,552,20889,,,blitz,,,,,6,4,74
donal3000,nebraxas,1126,1398,1-0,"Sicilian Defense: Closed Variation, Traditional",B25,https://lichess.org/4fp3mXes,300+0,Normal,,,unknown,,,,,0,0,0,,,puzzle,,,,,871,86,1508
TenderHeartPirate,Adeo,1287,1325,0-1,King's Knight Opening: Normal Variation,C44,https://lichess.org/mGZAUg6c,600+0,Normal,,,puzzle,,,,,578,49,798,,,bullet,982.0,,,,2582,142,3070
Sullen,angharradwilson,1359,1433,1-0,Horwitz Defense,A40,https://lichess.org/6EHw5jXV,60+0,Time forfeit,,,bullet,,,,,8124,574,18790,,,bullet,,,,,1543,26,3070
santanabrown,marceloduchamp,1557,1213,1-0,French Defense: Advance Variation #3,C02,https://lichess.org/P4QZJd8D,600+0,Time forfeit,,,unknown,,,,,0,0,0,,,bullet,1447.0,1580.0,,,7513,444,7824
reize,captainjack,1267,1296,1-0,Duras Gambit,B00,https://lichess.org/KCgtMOAY,900+0,Normal,,,rapid,,,,,9,0,15,,,rapid,,,,,512,22,656
fay,steve20042014,1309,1355,0-1,"Queen's Gambit Accepted: Normal Variation, Traditional System",D26,https://lichess.org/f8G6AodH,300+0,Time forfeit,,,rapid,,,,,1789,97,1594,,,puzzle,,,1073.0,,70,9,111
Trimen1000,ReNero,1550,1194,1-0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",C57,https://lichess.org/phwJViZi,600+0,Normal,,,blitz,,,,,5173,310,4885,,,rapid,,,,,642,87,2868
